gene_id,ensembl,symbol,pvalue,padj,EBV,NOKS,reg,residuals
ENSG00000156469_MTERFD1,ENSG00000156469,MTERFD1,0.03358289458366634,0.3338246146903357,-1.3401510372273473,-2.1526906166468875,Downregulated,0.2754618068525938
ENSG00000156471_PTDSS1,ENSG00000156471,PTDSS1,0.020102606744189646,0.2765020200459514,-0.6713410394047412,-1.465776442783251,Downregulated,0.42873680234249134
ENSG00000156475_AC011357.1,ENSG00000156475,AC011357,0.8217648017074556,1,0.06565723659384606,-0.049810299770941334,Mixed,0.10304029547610875
ENSG00000156482_RPL30,ENSG00000156482,RPL30,0.7777125512706984,0.9413911368507526,-0.15073645803444796,-0.2283958853613516,Downregulated,0.020676620589723665
ENSG00000156486_KCNS2,ENSG00000156486,KCNS2,0.8114580111745787,1,-0.03776637054770635,-0.16183903116122145,Downregulated,0.08369521589465831
ENSG00000156500_FAM122C,ENSG00000156500,FAM122C,0.3509801299082589,0.7473056115600625,0.46812855336950804,0.5189649419469162,Upregulated,0.07864089575959339
ENSG00000156502_SUPV3L1,ENSG00000156502,SUPV3L1,0.06349391377405036,0.42085743102846046,-0.829217017538711,-1.1894814681115384,Downregulated,0.06349906660971331
ENSG00000156504_FAM122B,ENSG00000156504,FAM122B,0.295747109333741,0.706615752809498,-0.09762488551397444,0.055191786432186536,Mixed,-0.13904679647415222
ENSG00000156508_EEF1A1,ENSG00000156508,EEF1A1,0.939438757497091,0.9836696273792486,0.17416419401654123,-0.006206200707639412,Mixed,0.17882200108768387
ENSG00000156509_FBXO43,ENSG00000156509,FBXO43,0.8584854956493633,1,-0.06026052481747445,-0.10467325312984208,Downregulated,0.01829765297196477
ENSG00000156510_HKDC1,ENSG00000156510,HKDC1,0.2976778829553223,1,0.11581759610286169,0.11223155791628192,Upregulated,0.031586845488506314
ENSG00000156515_HK1,ENSG00000156515,HK1,0.7742052420184558,0.9405424713576778,0.4008201421652662,0.2863324597471943,Upregulated,0.18592516558700764
ENSG00000156521_TYSND1,ENSG00000156521,TYSND1,0.03562756352158877,0.34169613474774935,-0.1843190458597209,-0.989340653111072,Downregulated,0.5581896332677984
ENSG00000156531_PHF6,ENSG00000156531,PHF6,0.7522850795471119,0.9337878651044048,-0.22190430379723436,-0.38181850412294366,Downregulated,0.06465377129173461
ENSG00000156535_CD109,ENSG00000156535,CD109,0.7602639492770509,0.936485051903238,1.0924174923480283,1.0207229283660948,Upregulated,0.3263561454166043
ENSG00000156574_NODAL,ENSG00000156574,NODAL,0.687241951426874,1,-0.183090771229147,-0.5553092267067802,Downregulated,0.23367358504469218
ENSG00000156587_UBE2L6,ENSG00000156587,UBE2L6,0.3127612842200844,0.7215483639781223,-0.8053925277200519,-1.4008249306358438,Downregulated,0.24593864487914568
ENSG00000156599_ZDHHC5,ENSG00000156599,ZDHHC5,0.6186997449480247,0.8853469266226002,0.7168350324782822,0.5948989355929217,Upregulated,0.2703582587882028
ENSG00000156603_MED19,ENSG00000156603,MED19,0.932233602371848,0.9819858960274503,-0.17092200612416347,-0.367651653499393,Downregulated,0.10500372558458407
ENSG00000156639_ZFAND3,ENSG00000156639,ZFAND3,0.24006057488544644,0.6564671365142192,0.22944601144816132,0.32428354991772707,Upregulated,-0.013931585090532665
ENSG00000156642_NPTN,ENSG00000156642,NPTN,0.9589686260046424,0.9885499986690585,-0.06482636309021565,-0.33730014920325124,Downregulated,0.18832030329498112
ENSG00000156650_MYST4,ENSG00000156650,MYST4,0.2801976836578186,0.6930187180271364,0.5403160222400124,0.6740766241297915,Upregulated,0.03441571152352002
ENSG00000156671_SAMD8,ENSG00000156671,SAMD8,0.06487340175908944,0.4234615593714983,1.1244698468079075,1.4553443545138274,Upregulated,0.03222137713500927
ENSG00000156675_RAB11FIP1,ENSG00000156675,RAB11FIP1,0.005579673492664757,0.17411753863751697,3.537058277480376,4.646223846882553,Upregulated,0.05002727291067435
ENSG00000156687_UNC5D,ENSG00000156687,UNC5D,0.752587737841296,1,-0.0164881227885691,0.03163160904911123,Mixed,-0.04022791775188881
ENSG00000156689_GLYATL2,ENSG00000156689,GLYATL2,0.5336024320991902,1,-0.5423316055518407,-0.36334802226734303,Downregulated,-0.26963578614025074
ENSG00000156697_UTP14A,ENSG00000156697,UTP14A,0.039729406058187644,0.3534238431880467,-0.8278105262031368,-1.524897937702395,Downregulated,0.31663850656148307
ENSG00000156709_AIFM1,ENSG00000156709,AIFM1,0.0478623347276252,0.3772324710960235,-0.2965973842941627,-0.8224218721717292,Downregulated,0.32063731244204297
ENSG00000156711_MAPK13,ENSG00000156711,MAPK13,0.5118159539037779,0.8363795683891548,1.8150572610761493,1.8816700784252678,Upregulated,0.40284766462235405
ENSG00000156735_BAG4,ENSG00000156735,BAG4,0.17624672078571638,0.5913510669642035,-0.003988904745375637,-0.39125091195494577,Downregulated,0.28964827364164175
ENSG00000156787_WDR67,ENSG00000156787,WDR67,0.6428819929982532,0.8964439050175445,-0.7947168239649082,-1.2217662244253238,Downregulated,0.12222924779306346
ENSG00000156795_WDYHV1,ENSG00000156795,WDYHV1,0.13214905963652937,0.5275938436563334,-1.1858554664486287,-1.7072922125481769,Downregulated,0.09548204013973749
ENSG00000156802_ATAD2,ENSG00000156802,ATAD2,0.6845339311958992,0.9101517790959787,-1.8182810332841324,-2.1531478542245472,Downregulated,-0.20232502846499797
ENSG00000156804_FBXO32,ENSG00000156804,FBXO32,0.6001800773488687,0.8766332991977787,1.5854756049129608,1.8137511682653704,Upregulated,0.2242397353671048
ENSG00000156831_NSMCE2,ENSG00000156831,NSMCE2,0.6141557316869709,0.8840431673598678,-0.1843188055832663,-0.3411537005750101,Downregulated,0.0717199842884133
ENSG00000156853_ZNF689,ENSG00000156853,ZNF689,0.08150544463099707,0.45018660978520114,-1.1999870532835641,-1.6961703678565232,Downregulated,0.07300341309626227
ENSG00000156858_PRR14,ENSG00000156858,PRR14,0.7550354468240789,0.934434526726401,0.13853905318227083,-0.06611979093163806,Mixed,0.1881625256176308
ENSG00000156860_FBRS,ENSG00000156860,FBRS,0.17525969051593254,0.589849854268671,1.159181059920376,1.6294760118044087,Upregulated,-0.06375471795373477
ENSG00000156869_FRRS1,ENSG00000156869,FRRS1,0.12758683096914858,0.5214371630045487,1.806309111906053,1.8440698676119696,Upregulated,0.4223187974337532
ENSG00000156873_PHKG2,ENSG00000156873,PHKG2,0.5148762180485453,0.8374950024042743,0.110854391136142,-0.21020485115098084,Mixed,0.26861494194693414
ENSG00000156875_HIAT1,ENSG00000156875,HIAT1,0.6991333521393033,0.9141099932779327,0.27292496391723886,0.013079036520224824,Upregulated,0.2631090343884616
ENSG00000156876_SASS6,ENSG00000156876,SASS6,0.5264820086425346,0.8425039084506925,-0.9752464520970375,-0.8419130323110592,Downregulated,-0.34338347184270573
ENSG00000156886_ITGAD,ENSG00000156886,ITGAD,0.5066888076737308,1,0.3806920976591329,0.2328482943307893,Upregulated,0.2059374477648059
ENSG00000156928_C7orf30,ENSG00000156928,C7orf30,0.2670322147477357,0.6808944159655627,-0.923073058443564,-1.430523788003792,Downregulated,0.15054736233979377
